[11:06:59.674] INFO (17898): Wallet sync [47]: shielded=false, unshielded=true, dust=false
[11:06:59.745] INFO (17898): Wallet sync [48]: shielded=false, unshielded=true, dust=false
[11:06:59.831] INFO (17898): Wallet sync [49]: shielded=false, unshielded=true, dust=false
[11:06:59.878] INFO (17898): Wallet sync [50]: shielded=false, unshielded=true, dust=false
[11:06:59.945] INFO (17898): Wallet sync [51]: shielded=false, unshielded=true, dust=false
[11:07:00.011] INFO (17898): Wallet sync [52]: shielded=false, unshielded=true, dust=false
[11:07:00.101] INFO (17898): Wallet sync [53]: shielded=false, unshielded=true, dust=false
[11:07:00.162] INFO (17898): Wallet sync [54]: shielded=false, unshielded=true, dust=false
[11:07:00.245] INFO (17898): Wallet sync [55]: shielded=false, unshielded=true, dust=false
[11:07:00.301] INFO (17898): Wallet sync [56]: shielded=false, unshielded=true, dust=false
[11:07:00.370] INFO (17898): Wallet sync [57]: shielded=false, unshielded=true, dust=false
[11:07:00.433] INFO (17898): Wallet sync [58]: shielded=false, unshielded=true, dust=false
[11:07:00.522] INFO (17898): Wallet sync [59]: shielded=false, unshielded=true, dust=false
[11:07:00.598] INFO (17898): Wallet sync [60]: shielded=false, unshielded=true, dust=false
[11:07:00.673] INFO (17898): Wallet sync [61]: shielded=false, unshielded=true, dust=false
[11:07:00.746] INFO (17898): Wallet sync [62]: shielded=false, unshielded=true, dust=false
[11:07:00.808] INFO (17898): Wallet sync [63]: shielded=false, unshielded=true, dust=false
[11:07:00.877] INFO (17898): Wallet sync [64]: shielded=false, unshielded=true, dust=false
[11:07:00.937] INFO (17898): Wallet sync [65]: shielded=false, unshielded=true, dust=false
[11:07:00.977] INFO (17898): Wallet sync [66]: shielded=false, unshielded=true, dust=false
[11:07:01.041] INFO (17898): Wallet sync [67]: shielded=false, unshielded=true, dust=false
[11:07:01.090] INFO (17898): Wallet sync [68]: shielded=false, unshielded=true, dust=false
[11:07:01.157] INFO (17898): Wallet sync [69]: shielded=false, unshielded=true, dust=false
[11:07:01.199] INFO (17898): Wallet sync [70]: shielded=false, unshielded=true, dust=false
[11:07:01.267] INFO (17898): Wallet sync [71]: shielded=false, unshielded=true, dust=false
[11:07:01.333] INFO (17898): Wallet sync [72]: shielded=false, unshielded=true, dust=false
[11:07:01.400] INFO (17898): Wallet sync [73]: shielded=false, unshielded=true, dust=false
[11:07:01.444] INFO (17898): Wallet sync [74]: shielded=false, unshielded=true, dust=false
[11:07:01.510] INFO (17898): Wallet sync [75]: shielded=false, unshielded=true, dust=false
[11:07:01.562] INFO (17898): Wallet sync [76]: shielded=false, unshielded=true, dust=false
[11:07:01.650] INFO (17898): Wallet sync [77]: shielded=false, unshielded=true, dust=false
[11:07:01.711] INFO (17898): Wallet sync [78]: shielded=false, unshielded=true, dust=false
[11:07:01.779] INFO (17898): Wallet sync [79]: shielded=false, unshielded=true, dust=false
[11:07:01.850] INFO (17898): Wallet sync [80]: shielded=false, unshielded=true, dust=false
[11:07:01.918] INFO (17898): Wallet sync [81]: shielded=false, unshielded=true, dust=false
[11:07:01.990] INFO (17898): Wallet sync [82]: shielded=false, unshielded=true, dust=false
[11:07:02.061] INFO (17898): Wallet sync [83]: shielded=false, unshielded=true, dust=false
[11:07:02.119] INFO (17898): Wallet sync [84]: shielded=false, unshielded=true, dust=false
[11:07:02.196] INFO (17898): Wallet sync [85]: shielded=false, unshielded=true, dust=false
[11:07:02.270] INFO (17898): Wallet sync [86]: shielded=false, unshielded=true, dust=false
[11:07:02.351] INFO (17898): Wallet sync [87]: shielded=false, unshielded=true, dust=false
[11:07:02.409] INFO (17898): Wallet sync [88]: shielded=false, unshielded=true, dust=false
[11:07:02.483] INFO (17898): Wallet sync [89]: shielded=false, unshielded=true, dust=false
[11:07:02.546] INFO (17898): Wallet sync [90]: shielded=false, unshielded=true, dust=false
[11:07:02.615] INFO (17898): Wallet sync [91]: shielded=false, unshielded=true, dust=false
[11:07:02.680] INFO (17898): Wallet sync [92]: shielded=false, unshielded=true, dust=false
[11:07:02.743] INFO (17898): Wallet sync [93]: shielded=false, unshielded=true, dust=false
[11:07:02.793] INFO (17898): Wallet sync [94]: shielded=false, unshielded=true, dust=false
[11:07:02.860] INFO (17898): Wallet sync [95]: shielded=false, unshielded=true, dust=false
[11:07:02.919] INFO (17898): Wallet sync [96]: shielded=false, unshielded=true, dust=false
[11:07:03.025] INFO (17898): Wallet sync [97]: shielded=false, unshielded=true, dust=false
[11:07:03.076] INFO (17898): Wallet sync [98]: shielded=false, unshielded=true, dust=false
[11:07:03.138] INFO (17898): Wallet sync [99]: shielded=false, unshielded=true, dust=false
[11:07:03.197] INFO (17898): Wallet sync [100]: shielded=false, unshielded=true, dust=false
[11:07:03.262] INFO (17898): Wallet sync [101]: shielded=false, unshielded=true, dust=false
[11:07:03.313] INFO (17898): Wallet sync [102]: shielded=false, unshielded=true, dust=false
[11:07:03.391] INFO (17898): Wallet sync [103]: shielded=false, unshielded=true, dust=false
[11:07:03.471] INFO (17898): Wallet sync [104]: shielded=false, unshielded=true, dust=false
[11:07:03.543] INFO (17898): Wallet sync [105]: shielded=false, unshielded=true, dust=false
[11:07:03.597] INFO (17898): Wallet sync [106]: shielded=false, unshielded=true, dust=false
[11:07:03.866] INFO (17898): Wallet sync [107]: shielded=false, unshielded=true, dust=false
[11:07:03.914] INFO (17898): Wallet sync [108]: shielded=false, unshielded=true, dust=false
